train_id,station,station_code,line,arrival_time,stop_number,delay_minutes
WR_001,Churchgate,CCG,Western,04:00,1,0
WR_001,Marine Lines,MEL,Western,04:03,2,1
WR_001,Charni Road,CYR,Western,04:05,3,1
WR_001,Grant Road,GTR,Western,04:08,4,1
WR_001,Mumbai Central,MMCT,Western,04:10,5,1
WR_001,Mahalakshmi,MX,Western,04:13,6,1
WR_001,Lower Parel,PL,Western,04:16,7,0
WR_001,Prabhadevi,PBHD,Western,04:19,8,1
WR_001,Dadar,D/DR/DDR,Western,04:21,9,6
WR_001,Matunga Road,MRU,Western,04:23,10,0
WR_001,Mahim Jn,MM,Western,04:26,11,1
WR_001,Bandra,B/BA,Western,04:30,12,2
WR_001,Khar Road,KHAR,Western,04:33,13,1
WR_001,Santacruz,STC,Western,04:35,14,1
WR_001,Vile Parle,VLP,Western,04:38,15,1
WR_001,Andheri,A/AD/ADH,Western,04:43,16,5
WR_001,Jogeshwari,JOS,Western,04:46,17,0
WR_001,Ram Mandir,RMAR,Western,04:49,18,0
WR_001,Goregaon,GMN,Western,04:51,19,1
WR_001,Malad,MDD,Western,04:55,20,1
WR_001,Kandivali,KLE,Western,04:58,21,0
WR_001,Borivali,BO/BVI,Western,05:04,22,6
WR_001,Dahisar,DIC,Western,05:09,23,2
WR_001,Mira Road,MIRA,Western,05:14,24,1
WR_001,Bhayander,BY,Western,05:19,25,2
WR_001,Naigaon,NIG,Western,05:25,26,3
WR_001,Vasai Road,BSR/BS,Western,05:30,27,3
WR_001,Nalla Sopara,NSP,Western,05:35,28,1
WR_001,Virar,VR,Western,05:41,29,2
WR_001,Vaitarna,VTN,Western,05:50,30,3
WR_001,Saphale,SAH,Western,05:58,31,3
WR_001,Kelve Road,KLV,Western,06:06,32,2
WR_001,Palghar,PLG,Western,06:21,33,2
WR_001,Umroli Road,UOI,Western,06:27,34,1
WR_001,Boisar,BOR,Western,06:33,35,2
WR_001,Vangaon,VGN,Western,06:42,36,1
WR_001,Dahanu Road,DRD,Western,06:55,37,1
WR_002,Churchgate,CCG,Western,04:10,1,0
WR_002,Marine Lines,MEL,Western,04:13,2,1
WR_002,Charni Road,CYR,Western,04:15,3,0
WR_002,Grant Road,GTR,Western,04:18,4,1
WR_002,Mumbai Central,MMCT,Western,04:20,5,0
WR_002,Mahalakshmi,MX,Western,04:23,6,0
WR_002,Lower Parel,PL,Western,04:26,7,1
WR_002,Prabhadevi,PBHD,Western,04:29,8,0
WR_002,Dadar,D/DR/DDR,Western,04:31,9,3
WR_002,Matunga Road,MRU,Western,04:33,10,0
WR_002,Mahim Jn,MM,Western,04:36,11,0
WR_002,Bandra,B/BA,Western,04:40,12,5
WR_002,Khar Road,KHAR,Western,04:43,13,1
WR_002,Santacruz,STC,Western,04:45,14,0
WR_002,Vile Parle,VLP,Western,04:48,15,1
WR_002,Andheri,A/AD/ADH,Western,04:53,16,4
WR_002,Jogeshwari,JOS,Western,04:56,17,1
WR_002,Ram Mandir,RMAR,Western,04:59,18,0
WR_002,Goregaon,GMN,Western,05:01,19,1
WR_002,Malad,MDD,Western,05:05,20,1
WR_002,Kandivali,KLE,Western,05:08,21,3
WR_002,Borivali,BO/BVI,Western,05:14,22,3
WR_002,Dahisar,DIC,Western,05:19,23,2
WR_002,Mira Road,MIRA,Western,05:24,24,1
WR_002,Bhayander,BY,Western,05:29,25,3
WR_002,Naigaon,NIG,Western,05:35,26,2
WR_002,Vasai Road,BSR/BS,Western,05:40,27,1
WR_002,Nalla Sopara,NSP,Western,05:45,28,1
WR_002,Virar,VR,Western,05:51,29,3
WR_002,Vaitarna,VTN,Western,06:00,30,3
WR_002,Saphale,SAH,Western,06:08,31,1
WR_002,Kelve Road,KLV,Western,06:16,32,3
WR_002,Palghar,PLG,Western,06:31,33,3
WR_002,Umroli Road,UOI,Western,06:37,34,2
WR_002,Boisar,BOR,Western,06:43,35,2
