station,station_code,line,platforms,tracks,year_of_opening,nearby_attractions,distance_km,travel_time_min
Churchgate,CCG,Western,4.0,4.0,1867.0,"Marine Drive,Nariman Point,Flora Fountain",0,0
Marine Lines,MEL,Western,4.0,4.0,1867.0,"Marine Drive,Girgaum Chowpatty Beach,Taraporewala Aquarium",1,3
Charni Road,CYR,Western,4.0,4.0,1867.0,"Girgaum Chowpatty Beach,Taraporewala Aquarium,Babulnath Temple",1,2
Grant Road,GTR,Western,4.0,4.0,,"Taraporewala Aquarium,Girgaum Chowpatty Beach,Kamala Nehru Park",1,3
Mumbai Central,MMCT,Western,9.0,9.0,1930.0,"Haji Ali Dargah,Mahalakshmi Temple,Nehru Planetarium",1,2
Mahalakshmi,MX,Western,3.0,3.0,1867.0,"Mahalakshmi Temple,Haji Ali Dargah,Nehru Science Center",1,3
Lower Parel,PL,Western,3.0,5.0,1867.0,"High Street Phoenix Mall,Kamala Mills Compound,Worli Sea Face",2,3
Prabhadevi,PBHD,Western,2.0,7.0,1867.0,"Siddhivinayak Temple,Shivaji Park,Worli Sea Face",1,3
Dadar,D/DR/DDR,Western,15.0,13.0,1868.0,"Shivaji Park,Siddhivinayak Temple,Dadar Flower Market",1,2
Matunga Road,MRU,Western,2.0,5.0,1867.0,"Dadar Beach,Shivaji Park,Siddhivinayak Temple",2,2
Mahim Jn,MM,Western,6.0,6.0,,"Bandra-Worli Sea Link,Bandra Fort,Mount Mary Church",1,3
Bandra,B/BA,Western,7.0,8.0,1869.0,"Bandstand Promenade,Mount Mary Church,Carter Road Promenade",2,4
Khar Road,KHAR,Western,6.0,6.0,1924.0,"Bandstand Promenade,Carter Road Promenade,Mount Mary Church",2,3
Santacruz,STC,Western,6.0,8.0,1888.0,"Juhu Beach,ISKCON Temple,Joggers Park",1,2
Vile Parle,VLP,Western,6.0,7.0,,"Juhu Beach,ISKCON Temple,Mahakali Caves",2,3
Andheri,A/AD/ADH,Western,9.0,9.0,1928.0,"Juhu Beach,Versova Beach,ISKCON Temple",2,5
Jogeshwari,JOS,Western,6.0,7.0,1867.0,"Mahakali Caves,Jogeshwari Caves,Film City (Goregaon)",2,3
Ram Mandir,RMAR,Western,4.0,7.0,2016.0,"Film City (Goregaon),Goregaon Exhibition Center,Oberoi Mall",2,3
Goregaon,GMN,Western,7.0,8.0,1867.0,"Film City,Goregaon Exhibition Center,Oberoi Mall",3,2
Malad,MDD,Western,4.0,5.0,,"Aksa Beach,Marve Beach,Film City",2,4
